"","NA.","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)"
"61",NA,74,71,68,73,75,62,64,59,74,66,66,70,69,61,70,70,73,70,65,74
"62",NA,45,58,61,55,50,46,56,58,45,56,61,45,57,58,60,48,56,61,43,57
"63",NA,55,45,43,45,48,48,45,39,44,47,36,51,49,40,44,46,46,37,42,46
"64",NA,43,37,43,42,41,40,37,46,38,28,46,38,41,42,45,40,34,36,50,27
"65",NA,27,27,52,31,28,37,31,32,31,35,28,31,25,34,33,34,31,32,34,35
"66",NA,22,31,18,29,22,23,24,27,24,26,25,35,24,35,27,36,31,34,30,28
"67",NA,19,25,24,28,24,24,25,28,24,33,23,21,22,31,23,25,23,25,25,20
"68",NA,19,25,25,16,22,25,18,27,33,24,22,26,29,16,22,31,25,18,23,22
"69",NA,24,23,12,28,27,20,22,18,17,16,21,16,21,16,16,16,20,19,21,18
"70",NA,15,21,19,16,21,17,26,21,24,21,21,17,21,20,20,13,15,24,18,21
"71",NA,17,13,22,22,21,13,26,14,25,10,21,17,24,12,18,22,15,22,20,15
"72",NA,18,22,19,25,13,17,28,21,22,10,25,16,22,17,16,21,16,14,20,21
"73",NA,16,17,21,18,18,22,17,24,21,17,20,14,17,17,15,15,18,18,14,13
"74",NA,25,15,21,18,17,16,10,15,25,15,17,14,27,21,26,13,31,17,22,20
"75",NA,20,12,15,11,22,18,27,10,11,14,18,23,15,14,15,13,15,20,27,14
"76",NA,17,14,18,15,7,17,14,21,7,16,14,18,14,20,15,17,17,19,18,13
"77",NA,14,20,11,21,20,18,19,10,21,21,23,14,23,14,21,12,17,16,7,20
"78",NA,22,8,17,17,26,17,17,14,12,15,8,20,16,19,20,20,15,23,17,18
"79",NA,13,16,18,16,17,20,19,12,24,18,19,18,27,20,14,14,17,10,19,17
"80",NA,16,22,15,18,11,17,15,15,12,22,24,15,13,13,14,16,21,27,15,18
"81",NA,11,15,13,12,14,21,17,18,15,15,17,11,13,10,19,16,14,9,13,17
"82",NA,15,17,13,17,17,15,14,15,22,21,11,15,15,15,13,15,15,13,13,10
"83",NA,13,18,22,16,10,18,13,13,20,10,11,11,10,13,15,14,12,14,10,12
"84",NA,17,10,20,14,14,11,18,13,16,19,12,24,21,22,14,8,16,13,14,18
"85",NA,15,20,10,12,16,14,16,13,14,11,11,12,19,18,17,17,10,12,22,24
"86",NA,17,18,13,15,12,21,16,15,18,22,20,10,16,12,14,11,20,19,12,20
"87",NA,14,13,22,14,13,17,19,15,18,14,20,16,19,15,9,10,16,21,12,15
"88",NA,14,11,13,14,16,19,16,13,11,10,12,19,17,13,19,20,16,16,14,14
"89",NA,8,15,14,17,11,12,14,16,22,11,14,13,15,9,13,20,19,15,16,23
"90",NA,9,19,11,13,15,12,13,21,17,16,12,14,10,18,15,12,13,19,19,19
"91",NA,16,15,7,13,15,14,15,18,8,15,12,13,14,13,19,7,13,13,15,16
"92",NA,12,12,17,12,12,13,12,20,14,12,15,13,15,10,16,25,11,14,17,13
"93",NA,16,21,17,14,23,14,14,17,12,16,9,14,18,8,10,18,18,20,13,13
"94",NA,13,21,16,14,17,21,18,12,12,9,13,13,16,20,13,17,16,13,15,13
"95",NA,18,19,17,15,17,13,17,10,15,15,11,16,13,14,17,14,14,11,19,18
"96",NA,11,14,13,15,15,17,13,20,15,19,9,13,16,17,18,15,18,19,23,21
"97",NA,19,12,14,18,12,15,13,21,17,16,17,21,13,12,10,13,21,13,16,10
"98",NA,17,12,12,18,22,16,14,14,11,13,12,15,17,16,11,8,10,13,15,6
"99",NA,15,17,20,16,14,19,16,13,13,16,19,15,19,19,22,13,18,15,14,14
"100",NA,7,14,18,21,9,14,23,12,15,22,27,10,14,23,11,23,19,16,20,13
"101",NA,15,18,12,19,19,13,13,16,19,14,18,12,14,16,15,12,11,14,15,22
"102",NA,13,13,16,14,13,10,16,11,13,25,17,14,8,16,14,15,16,16,9,14
"103",NA,14,18,15,25,16,18,13,14,16,13,11,9,11,16,18,16,14,21,14,19
"104",NA,16,19,15,16,12,17,21,25,12,25,16,16,15,17,18,18,15,14,16,16
"105",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
