"","NA.","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H"
"15",NA,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,2,0,1,1,0,2,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,2,0,1,0,2,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0
"16",NA,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,2,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,2,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,2,0,1,1,1,0,0,1
"17",NA,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,2,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,2,0,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,2,1,1,0,1
"18",NA,1,1,0,1,1,2,0,1,0,1,0,1,2,0,1,0,1,0,0,1,1,1,0,0,2,0,0,0,0,0,2,2,0,1,1,0,2,1,1,0,0,0,2,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1,2,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,2,1,0,1,1,0,0
"19",NA,2,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,2,1,1,1,1,1,2,0,1,2,1,0,1,0,1,0,0,2,0,2,2,0,1,2,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,2,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0
"20",NA,1,1,1,1,1,1,0,1,1,1,1,1,2,1,2,2,0,2,1,2,0,1,0,1,1,1,1,0,2,1,0,2,0,0,1,0,1,1,2,1,1,0,2,2,2,0,0,2,2,0,2,2,1,1,1,0,0,1,0,1,1,1,2,1,1,1,0,2,1,0,1,0,2,1,1,0,0,1,0,1,0,0,1,0,1,2,1,1,1,2,1,0,0,0,0,0,1,2,1,0
"21",NA,1,1,0,1,1,2,1,1,0,2,0,1,2,0,1,0,2,1,1,1,0,1,1,1,1,0,1,1,2,1,1,1,1,0,2,1,0,2,0,1,0,0,1,1,1,1,2,2,1,1,2,2,2,1,2,1,1,1,0,2,1,2,1,1,0,1,1,2,1,1,1,1,0,0,1,2,1,0,0,2,1,0,1,1,3,2,1,1,0,1,1,0,0,1,1,1,1,1,1,1
"22",NA,2,1,0,1,2,3,0,2,2,1,1,1,1,0,1,2,0,1,1,2,0,0,2,1,0,1,1,2,1,1,2,2,0,1,1,1,2,2,1,1,0,0,0,1,1,0,2,2,2,1,1,2,0,0,2,0,1,1,0,1,2,1,2,1,1,1,1,2,1,1,2,1,1,1,1,2,0,0,0,0,0,0,0,0,1,2,1,0,2,1,1,2,2,0,1,0,0,1,0,1
"23",NA,1,0,0,0,1,1,0,1,1,1,2,0,2,1,1,1,1,2,0,2,0,1,2,1,2,0,3,1,2,2,2,1,1,1,1,0,1,2,1,2,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,0,1,1,1,1,1,2,1,2,1,1,0,1,2,1,1,1,1,1,1,1,1,1,1,0,2,2,1,1,1,2,1,0,2,2,2,1,1,1,1,2,1,2,2,1
"24",NA,1,1,1,1,0,2,0,1,1,0,1,1,2,1,2,2,2,1,0,2,1,1,1,2,1,2,2,1,1,0,2,1,0,1,1,0,1,0,1,2,1,0,2,1,1,1,1,2,1,1,2,2,0,1,1,0,2,1,1,2,1,0,2,1,1,2,1,1,0,0,1,2,1,1,1,1,1,1,0,1,1,2,2,2,2,1,1,1,2,1,2,2,1,2,1,2,1,2,1,2
"25",NA,2,0,0,0,1,0,0,0,1,2,1,1,1,2,2,1,1,2,1,1,1,0,0,0,1,2,1,1,2,1,2,1,0,2,2,0,1,0,1,1,2,1,1,0,1,2,1,2,2,0,1,2,1,1,1,1,2,1,1,1,2,1,1,1,2,1,0,2,0,0,0,2,2,1,1,2,2,1,2,0,1,1,0,1,1,1,2,2,0,0,1,2,2,1,2,2,1,1,2,2
"26",NA,0,1,1,1,1,1,1,2,1,1,0,1,1,1,1,2,1,2,1,2,0,2,2,2,1,3,1,1,0,2,1,2,1,2,1,0,0,1,2,1,2,1,1,1,0,1,1,1,2,1,0,1,1,1,2,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,2,1,1,0,2,1,2,2,2,0,1,1,2,1,2,1,2,0,2,1,2,1,1,1
"27",NA,1,1,1,1,1,1,2,2,1,1,1,2,1,2,2,1,1,2,1,2,2,1,2,1,2,2,1,2,1,2,1,1,2,2,1,0,1,1,2,1,1,1,2,2,0,2,1,2,2,1,1,1,1,2,1,1,1,2,1,0,1,1,0,2,0,1,1,2,1,1,1,2,1,0,1,1,1,1,1,1,3,1,2,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,2
"28",NA,2,1,1,0,2,2,2,2,1,2,1,1,2,2,2,1,1,2,1,2,1,1,2,1,2,1,1,2,2,1,1,2,2,2,2,0,1,1,2,2,2,1,1,2,1,2,2,1,2,2,2,2,1,1,2,1,1,1,1,1,1,0,2,2,1,1,3,1,1,1,2,1,1,3,1,2,1,1,1,1,2,2,2,1,1,2,2,2,1,0,1,1,1,2,2,1,1,0,1,1
"29",NA,1,1,1,0,1,2,1,0,2,0,2,2,2,1,0,2,1,2,1,1,1,1,2,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,2,1,2,1,1,1,1,1,2,1,1,2,1,1,2,1,2,2,2,1,1,2,1,1,1,1,0,0,1,1,1,2,1,2,0,1,0,1,1,1,1,2,2,2,1,1,2,1,0,1,1,1,1,1,2,1,1,1,1,1
"30",NA,1,0,2,1,1,2,1,2,2,0,1,1,2,1,1,1,0,2,1,2,1,2,2,2,1,2,0,2,1,0,2,0,2,2,1,1,0,2,2,2,2,1,1,2,1,1,1,4,1,2,1,0,2,2,2,1,1,2,1,1,0,2,0,2,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,0,1,2,1,2,2,1,1,2,1,1,2,2,1,1,2,0,2,1,2,2
"31",NA,2,0,2,1,2,2,0,1,1,1,1,2,2,0,1,1,1,2,1,1,1,1,2,0,3,2,1,1,1,1,3,1,1,2,0,0,2,0,1,2,2,2,1,2,0,1,2,2,1,2,2,1,1,2,2,1,2,2,1,1,0,1,1,2,1,1,1,2,1,1,1,0,1,2,1,1,1,2,2,1,1,1,0,1,2,0,1,2,2,1,2,1,1,1,2,1,2,1,1,2
"32",NA,1,1,1,1,1,2,0,1,2,1,2,1,2,1,0,1,1,1,1,2,1,1,2,1,2,2,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,1,1,3,1,2,1,2,2,1,2,1,1,2,2,2,1,3,2,2,1,1,1,1,2,1,1,2,3,1,2,1,1,1,1,2,2,2,0,2,0,2,1,0,2,0,1,2,2,2,1,1,2,1,2,2,2,0,1,0
"33",NA,1,2,3,1,2,2,2,1,1,1,1,1,4,1,0,1,1,2,1,2,1,1,2,1,3,2,1,2,0,1,2,1,2,3,1,2,2,2,2,1,1,0,2,1,0,2,1,1,2,1,0,1,1,1,2,2,1,2,1,2,1,2,0,2,0,1,1,1,2,0,1,1,1,1,1,0,1,1,0,1,2,2,2,1,2,1,2,1,1,2,2,1,0,0,1,1,1,0,1,1
"34",NA,1,1,2,2,1,1,0,1,0,1,1,1,2,1,2,1,2,2,0,1,2,0,1,1,3,2,2,1,2,1,2,0,1,1,0,1,1,2,1,0,1,1,2,2,2,1,0,1,2,1,2,2,1,2,1,1,1,2,1,2,1,2,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,2,0,1,2,1,2,1,1,1,1,2,1,2,0,2,1,1,2,1,2,1,1,1
"35",NA,1,1,1,1,1,2,1,1,1,1,1,0,1,1,2,1,1,2,1,1,0,0,1,1,2,2,2,1,2,2,2,1,1,1,1,1,1,0,2,1,1,0,1,2,1,1,2,1,2,1,1,2,1,2,2,1,1,2,1,1,2,3,1,1,1,0,2,1,1,1,1,2,1,1,1,1,0,2,2,2,1,2,1,1,2,0,1,1,1,2,2,0,2,1,1,1,2,2,2,2
