"","NA.","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)"
"68",NA,21,22,12,31,29,25,13,20,34,22,19,22,26,25,27,14,23,23,26,22
"69",NA,28,19,19,19,17,21,18,22,16,20,17,26,23,23,20,22,22,19,31,13
"70",NA,17,21,16,16,18,25,25,11,14,29,20,18,17,16,16,16,22,19,20,24
"71",NA,20,18,21,19,25,18,18,23,19,19,26,19,21,23,20,22,22,18,18,20
"72",NA,12,16,22,17,16,21,12,25,9,20,25,14,22,21,30,21,19,25,18,20
"73",NA,28,10,20,12,15,18,18,21,17,11,16,16,19,17,18,19,18,16,21,17
"74",NA,16,14,18,16,29,15,25,17,18,8,24,12,15,7,20,18,18,25,15,16
"75",NA,14,19,19,17,11,13,13,21,15,25,21,19,18,19,15,17,25,16,12,16
"76",NA,8,24,17,11,10,20,17,11,9,17,18,17,22,26,15,9,10,17,8,21
"77",NA,20,28,17,23,19,16,12,12,21,18,15,21,18,15,19,16,18,12,17,15
"78",NA,15,12,12,17,16,13,16,17,17,20,10,14,19,12,18,21,12,8,18,16
"79",NA,18,21,16,13,16,15,25,14,20,25,17,17,12,18,14,16,14,15,17,13
"80",NA,12,14,13,16,10,26,20,17,19,12,13,17,12,18,16,11,18,15,13,21
"81",NA,19,18,14,13,12,13,19,17,16,15,15,19,15,15,21,16,12,11,14,16
"82",NA,10,15,18,16,19,13,10,21,10,22,13,14,19,18,19,10,8,27,17,19
"83",NA,19,23,22,21,12,14,21,12,15,11,20,21,13,14,22,22,13,9,21,23
"84",NA,18,13,9,19,19,16,12,16,16,12,11,19,18,18,21,16,17,20,15,14
"85",NA,16,8,13,18,17,19,18,12,12,14,19,16,12,15,13,13,19,16,17,18
"86",NA,13,17,19,15,22,20,11,12,17,16,13,17,15,19,23,10,13,14,17,13
"87",NA,14,14,15,15,15,19,7,16,15,19,16,10,14,14,18,17,9,14,11,12
"88",NA,21,10,13,14,15,17,18,14,22,11,17,23,14,18,12,16,14,13,18,15
"89",NA,9,19,19,11,9,12,18,12,13,18,14,12,19,10,8,19,12,19,15,22
"90",NA,19,11,19,14,11,10,21,17,13,12,18,15,11,11,11,11,14,14,10,12
"91",NA,15,17,9,18,20,21,9,21,16,16,14,16,22,15,11,12,16,13,13,14
"92",NA,14,16,16,16,13,16,21,13,13,11,18,11,15,13,20,16,19,13,13,14
"93",NA,18,15,17,10,14,13,6,15,14,21,23,18,20,14,20,16,20,13,18,14
"94",NA,10,15,12,16,16,11,12,21,8,14,26,16,8,21,19,10,16,10,23,14
"95",NA,11,9,20,21,15,10,16,6,17,16,14,14,13,18,21,15,21,14,15,13
"96",NA,13,17,15,11,11,11,14,16,15,15,20,11,19,14,20,15,16,13,11,13
"97",NA,15,13,11,13,23,8,16,15,25,16,7,12,19,14,18,15,14,14,24,13
"98",NA,16,19,22,11,19,15,8,15,16,15,15,21,18,14,16,13,14,23,17,12
"99",NA,19,19,13,16,14,14,15,15,14,15,12,11,15,12,6,14,19,22,11,14
"100",NA,17,17,15,21,14,21,15,19,15,18,17,14,16,17,20,14,14,15,18,16
"101",NA,13,12,17,17,17,16,11,23,15,8,14,14,10,15,15,19,16,11,12,20
"102",NA,11,22,10,12,21,16,18,8,15,17,14,16,21,15,15,14,19,13,21,13
"103",NA,10,22,18,11,7,18,9,21,11,21,20,16,19,5,14,11,24,15,21,19
"104",NA,15,18,17,12,13,12,20,13,16,14,16,24,16,19,13,17,12,12,14,11
"105",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
