"","NA.","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)"
"21",NA,5,5,7,9,13,11,9,11,3,5,5,8,6,3,7,9,3,6,4,12,19,6,14,7,9,7,9,10,9,1,7,14,6,8,9,9,9,11,8,13,5,7,9,6,10,6,4,3,13,8
"22",NA,5,10,6,8,13,10,14,18,9,9,9,8,11,7,9,13,6,11,7,11,9,7,16,10,8,13,8,11,10,3,6,12,13,16,10,11,12,6,6,15,10,11,7,8,11,9,6,4,10,13
"23",NA,9,12,8,18,15,19,13,14,12,6,7,12,15,8,10,16,8,9,9,10,17,10,13,12,12,8,8,12,17,7,9,15,10,20,9,14,13,10,10,17,13,13,14,9,15,25,5,8,17,12
"24",NA,12,8,9,11,12,19,15,17,15,8,9,10,19,9,9,10,9,15,11,19,17,9,15,11,10,13,9,13,17,4,10,18,17,19,10,10,17,12,5,22,9,15,9,12,20,12,7,8,16,12
"25",NA,17,11,9,12,19,22,17,20,13,11,10,9,18,10,14,14,6,15,8,21,19,9,22,18,13,19,12,15,19,4,10,17,14,24,15,23,18,13,15,24,15,15,16,8,21,17,7,15,18,20
"26",NA,21,13,9,13,18,21,13,25,16,18,14,15,19,12,8,16,10,21,14,19,30,18,20,15,19,16,14,21,23,7,13,14,19,23,18,20,20,17,13,18,12,20,19,15,22,16,8,18,25,18
"27",NA,13,20,11,18,24,30,20,25,19,14,17,18,17,13,11,23,19,18,13,27,31,15,23,14,22,21,17,22,19,6,14,20,19,20,17,18,21,17,15,24,20,22,15,17,25,26,13,15,26,21
"28",NA,17,16,16,23,24,31,22,26,25,19,16,22,22,22,18,26,15,26,17,31,21,19,23,17,24,22,13,16,23,13,11,23,22,29,21,29,23,21,18,22,23,26,22,20,24,24,13,17,26,26
"29",NA,18,20,18,21,26,35,23,30,28,24,21,22,21,14,25,22,11,27,19,25,25,25,26,23,24,23,17,27,19,16,17,24,21,30,30,22,26,30,14,33,24,34,26,24,21,34,12,11,25,27
"30",NA,24,17,15,26,28,26,24,31,32,23,20,23,20,17,27,30,19,37,17,37,34,23,31,21,25,25,20,30,29,14,18,28,26,24,22,38,25,37,19,31,19,31,23,24,29,27,15,20,29,26
"31",NA,26,19,17,32,31,36,29,34,38,26,28,16,29,18,28,23,15,30,23,25,34,31,20,26,24,30,20,31,33,8,16,30,24,26,34,30,25,39,23,37,31,35,28,27,28,34,14,19,29,28
"32",NA,27,20,22,28,27,37,27,33,29,22,24,25,30,19,37,32,21,39,22,37,40,34,30,25,30,32,22,29,34,17,19,29,28,36,29,34,31,33,18,37,26,35,34,27,30,30,18,23,31,24
"33",NA,33,24,22,30,33,35,29,34,30,31,25,30,25,23,31,34,19,27,19,39,33,28,34,24,31,31,28,33,37,15,20,30,27,35,41,39,29,39,27,39,27,38,30,36,26,31,17,24,35,32
